Movie Name,Storyline
Electra,A journalist and his female companion travel to interview a famous musician in Rome where a generous invite to a country estate becomes something much more than anyone expected.
Play Along,"A relentless captor preys on young women, forcing them into a deadly game of psychological warfare using costumes. When 17-year-old Skylar becomes the first to outsmart him, a battle of wits ensues in a fight for their very survival."
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
Operation Undead,"1941. Chumphon Province, Thailand. Mok and his ragtag unit of young soldiers are thrown against the invading Japanese forces. The invaders bring with them a terrifying biological weapon, unaware that it has plans of its own."
Paying for It,"When an introverted cartoonist's girlfriend wants to redefine their relationship, he begins sleeping with sex workers and discovers a new kind of intimacy in the process. An adaptation of the Graphic Novel by Chester Brown."
Horror in the High Desert 3: Firewatch,"As a wildfire bears down on the opposite side of the state, Oscar Mendoza, armed with a secret, takes advantage of the distraction and journeys to Northeastern Nevada in search of missing outdoorsman Gary Hinge's last known whereabouts."
Timuchin,"A young and ambitious guy from the village comes to the city to fulfill his dream and enter the Academy of the Ministry of Internal Affairs. His desire to become a policeman is known to everyone around him. However, in the area where his uncle lives, there is a criminal group that controls ruthless gangs, and when he enters the academy, he meets his love. Now he has to not only prepare for exams, but also enter into a confrontation with bandits in order to protect his loved ones and his future."
Sheriff,"Sheriff and Nazri, police officers from different departments, team up to take down Tony, a ruthless drug kingpin running a methamphetamine syndicate responsible for numerous deaths, known as the Meth Killer."
The Flood,Follows the last days of Louis XVI and Marie Antoinette before they were executed.
Drazen,"The narrative of Drazen Petrovic, a celebrated Croatian basketball player, highlights his personal life and unique character, emphasizing his deep, complex relationship with basketball - both his greatest passion and his curse."
Freelance,"When a down-on-her luck video editor takes on a mysterious, well-paying job cutting snuff films, she is haunted by visions of the people in her videos."
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune."
Cheech & Chong's Last Movie,"Exploring their 5-decade career performing stand-up, making records, and starring in hit films. It covers their lives, comedy partnership, and lasting influence on pop culture."
Checkmate,"In a tangled web of power and love, the lives of a pharmaceutical company CEO, a failed Don, a grieving widower, and a shrewd lawyer intersect when a mysterious woman is kidnapped, sparking a chain of events in New York City's underbelly."
Purna Bahadur Ko Sarangi,"A struggling single father battles poverty, using his musical talents to support and inspire his son. Together, they persevere through hardship, fueled by the father's dream of a better life."
Red Flag,"Gina, a car saleswoman, starts dating Red, a coworker with a reputation for womanizing. Their intense romance progresses quickly, but doubts surface about Red's intentions and potential warning signs."
I Want to Be Neenja! The Movie,"One of the greatest songs ever is now a movie. Buckle up for a laughter-filled ride. Jennifer Murphy ""GoGirl"" is a superhero on a mission to spread smiles, but she is being sabotaged by Chow, the billionaire ninja villain. Who will win?!."
Six Days,"A police officer who was unable to find the killer of a young girl 11 years earlier. When another child is kidnapped in the same way just days before the case is closed for good, he decides to reinvestigate the unresolved kidnapping."
Within the Pines,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods."
Quiet Life,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances."
Group Therapy,"A witty exploration of mental health challenges through relatable conversations, striking a balance between depth and levity."
Unspeakable: Beyond the Wall of Sleep,Renowned oneirologist Ambrose London is requested to appear at Arkham Asylum to study the strange case of dissociative identity disorder in patient James Fhelleps/Joe Slater.
Nirangal Moondru,"A teacher, a lovelorn student, and a troubled filmmaker's lives intertwine as they search for a missing teenager."
Another Cabin in the Woods Movie,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
Year One,"A series of events during Ruby's freshman year of college send her on a downward spiral, culminated by the arrival of a glamorous alter ego who begins to live a life of her own."
Selling Superman,"A 40-year painful family secret that leaves Darren holding the keys to 300,000 comics, a Superman #1, and an opportunity to change his family's legacy by selling one of the most expensive comics of all time."
Space Command Redemption,"Space Command hopeful vision of the future, a space-going saga featuring Walking Dead's Ethan McDowell, Star Trek Discovery's Doug Jones, Star Trek Voyager's Robert Picardo, and Babylon 5's Mira Furlan, Bruce Boxleitner and Bill Mumy."
Stealing Pulp Fiction,"It follows Jonathan, Elizabeth and Steve as they try to steal Quentin Tarantino's personal print of Pulp Fiction (1994)."
Hide N Seek,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
School of Magical Animals 3,"Children with magical animal companions at Winterstein School experience adventures spanning a forest and fashion show, encountering a snobbish cat and vegan crocodile while navigating friendship and first love."
Nakon ljeta,"When Maja arrives on a remote island to resolve the issue of family inheritance, she doesn't expect to stay there longer than she planned."
Victoria,"Victoria, a small-town beautician, defies her Catholic family by fleeing with her Hindu boyfriend. Her life grows more complex when she receives a rooster meant for religious purposes from a neighbor."
Shepherds,"A young Montreal advertising executive, converted to a Provençal shepherd, has various misadventures with a civil servant who has cavalierly quit her job."
Case of Kondana,"In the outskirts of Bangalore, a fiery ASI clashes with a gangster in a fictional outpost. His love life faces hurdles while ACP Lakshmi hunts a criminal and Raju tries to save his ill son."
The Devil's Disciples,"A forgotten prophecy resurfaces, casting a dark shadow over Lucifer's dominion. In a desperate race against time, his elite council must confront destiny -- or risk the fall of Hell's reign on Earth."
Solvent,"While hunting Nazi papers in Austria, researchers find a dark secret beneath a farmhouse. As expat Gunner Holbrook pursues the mystery, his grip on reality slips. He battles an evil force, racing to save himself."
Chilli Chicken,"Five migrant workers from the North East, employed by a restaurant owner aspiring for a fine dining establishment, face a tragic turn when one of them meets an untimely demise under mysterious circumstances within the restaurant premises."
Sicilian Letters,"A time during Cosa Nostra boss Matteo Messina Denaro's three decades as a fugitive from Italian justice, when he was at the peak of his nefarious powers."
One by One,"Follows David Rosenau's journey from funeral director to prison guard, undercover detective, and homicide investigator before a calling to become a pastor after a life-threatening injury, impacting lives for eternity."
Scorched Earth,"Twelve years after he fled, career criminal Trojan returns to Berlin. A valuable painting is set to be stolen in the city. But the meticulously planned heist soon runs out of control."
Star,"Follows a youngster Kalai and his aspirations of becoming a 'Star' in the Tamil Film Industry. Born in a lower-middle-class family, will Kalai overcome all his struggles to emerge as a Star?"
Layla,"When Layla, a struggling Arab drag queen, falls in love for the first time, they lose and find themselves in a transformative relationship that tests who they really are."
The Mountain,Explores the journey of three young people as they seek solace under the watchful gaze of the Taranaki mountain and companionship in the spirit of adventure.
Vadakkupatti Ramasamy,"A selfish, money-minded charlatan makes a living off his fellow villagers using their superstitious beliefs. When his major source of income is shut down, he tries numerous ways to reopen the temple."
Cup,"The story of a sixteen-year-old boy, a badminton player from a village named Vellathooval in Idukki, who dreams of the Olympics."
Mura,"Four friends from a humble background plan a heist, but past secrets and hidden motives emerge, testing their loyalties. As ambition collides with friendship, they face tough choices in their quest for revenge."
Obbattu,"Ganga and Shiva navigate a comedic and suspenseful evening after the unexpected death of Jollu Seena at Ganga's dinner, leading to a series of misunderstandings and the search for the true murderer."
Noah's Ark,Tom and Vini are two bohemian mice who stow away on Noah's Ark. They must use their musical talents to enter a competition and help maintain peace among the animals.
The Time It Takes,"A deeply felt narrative of the filmmaker's time with her father. A story that's both personal and told with the necessary distance. Like a passion, a life choice and a way of being in the world."
Goldilocks and the Three Bears: Death and Porridge,"When a group of friends arrive at the wrong address for their annual reunion vacation, Desperate, they break into a isolated house only to later discover it belongs to psychotic killers dressed as Goldilocks and the Three Bears."
Go Against the Flow,"Second half of the 1970s. Several teenagers from Ustrzyki Dolne, led by a charismatic and undisciplined student of the Ustrzyki vocational school, Siczka, decided to become punks and play punk rock. They were inspired by the Sex Pistols band heard on a foreign radio station and the new ""punk"" culture. First, they send a letter to Radio Free Europe asking for more ""free people's music"" on the air. To their amazement, the letter is read live, and the station starts airing a weekly punk show. Of course, neither Siczka nor the rest of the boys have any idea what a big deal this modest show will start and what great dark powers will come against them. The letter read out in Free Europe was noticed by representatives of the repressive apparatus of the People's Republic of Poland. The SB officer, Jerzy Majak, while interrogating Siczka, makes it clear that Ustrzyki Dolne is not London and there will be no ""punk"" in his commune."
Double Ismart,A notorious criminal with a terminal brain tumor hires a rogue scientist to transfer his mind into the body of a street-smart renegade with a unique memory transfer port in his brain.
Balinsasayaw,"A rich woman marries a charming womanizer who conspires with his wife's best friend. When all the revelations are exposed, the tables suddenly turn."
Face Off 7: One Wish,"When a 73-year-old widow is forced to depend on the care of her 5 busy adult children after an injury, she begins to question the meaning of family love."
Five Blind Dates,"A fortune teller tells a woman that on one of the next five blind dates she goes on, she will meet her soulmate."
Silver Star,"Billie, a young African American woman recently released from prison, kidnaps a pregnant teenager during a failed bank robbery. With nothing left to lose, they set off on a journey together."
Jailbreak: Love on the Run,"When Vicky White, a highly respected corrections officer, aids the escape of a violent felon nearly twenty years her junior, it reveals an unexpected love story amidst the ensuing high-profile manhunt and media frenzy."
Unsinkable,Award-winning film about the political intrigue and drama during the inquiry and investigation into the sinking of Titanic.
Biggest Heist Ever,"Morgan, a hipster rapper otherwise known as Razzlekhan and Forbes contributor, and her husband Lichtenstein were arrested after being accused of conspiring to launder nearly 120,000 Bitcoin."
Young Werther,"Werther, a carefree and charming young writer, stumbles across the love of his life only to find out she's engaged. Against his best friend's urgings, Werther turns his world upside down in a misguided and hilarious quest to win her heart."
Romeo,"A husband tries to win the love of his wife, who marries him because of familial obligation."
The Exiles,"Evicted from their city life, a widowed woman and her daughter embark on rebuilding their future by embracing long-forgotten rural ties."
Steppenwolf,Tamara searches for her missing son in a violent town. She hires a morally questionable ex-detective to find him. His methods are cruel but she is determined to find her son whatever the cost.
They Call Her Death,"Molly Pray is on a bloody crusade against the criminal forces who have wronged her. Her mission strikes at the myth of manifest destiny, but for Molly, with the embodied specter of Death on her side, this isn't political. This is personal."
Rest in Peace,"A family man who, cornered by debt, decides to take advantage of a chance and unpredictable circumstance to disappear."
Daghabaaz Dil,"Long-feuding families unite through grandma's wish for an arranged marriage between reluctant Faris and Zoya, who unexpectedly fall in love amid comedic trials."
The Hangman,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count."
Agni,"In a city plagued by a strange rise in fires, fireman Vithal and his policeman brother-in-law Samit reluctantly team up to solve the escalating crisis. Battling personal conflicts, they race against time to crack the case and save Mumbai."
To Live Through Death,"After a tragic loss of his family, Chen, an ex criminal changes his face with cosmetic surgery and becomes a cook in a restaurant. Fifteen years later a woman asks him for help against human traffic gangs."
Ei koskaan yksin,"1942 in Helsinki. The state of Finland has made an alliance with Nazi Germany. One man alone is trying to stop the Finnish security services which were operating in secrecy, to turn over Jewish refugees into the hands of Gestapo."
Butchers Book Three: Bonesaw,"Three women find themselves being hunted by a vicious killer who slaughters people and hacks them up in his van, while a clever sheriff pieces together the clues he's leaving behind."
Reinas,Two teenage sisters are about to leave their country forever when they unexpectedly reconnect with an absent father. This relationship will both amplify and ease their pain of change.
Amongst the Wolves,"Danny, an ex-soldier homeless in Dublin, meets Will, a teen fleeing a drug gang. Their encounter forces them to confront their pasts while navigating the harsh realities they face."
Lula,"An intimate portrait of Luiz Inácio ""Lula"" da Silva, one of the world's most influential political figures, chronicling his extraordinary path to regaining Brazil's presidency in 2022 after a 19-month imprisonment."
The Boy with Pink Trousers,"The story of Andrea Spezzacatena, who, in 2012, decided to take his own life because of the continuous bullying of some classmates."
Spark,"Aaron gets stuck in a time loop after meeting Trevor. Seeking love, he tries to break free by unraveling Trevor's potential involvement while reliving the same day repeatedly."
ZEF: The Story of Die Antwoord,"The story of the controversial South African band Die Antwoord. Tracing them from their humble beginnings to global phenomenon. Like their music the documentary is shocking, provocative, highly creative and strangely funny."
Anand Sreebala,"A common man's quest to unravel a law student's mysterious death leads him down a dark path, confronting secrets and his own demons in a high-stakes investigation."
Casatoria,A degenerate gambler and his two idiot friends come up with an elaborate plan to pay down their colossal gambling debts by marrying the dysfunctional daughter of an upstart billionaire.
Taken from Rio Bravo,"In 1874 Texas, two friends and an Indian scout rescue kidnapped women from sadistic traffickers near the Mexican border."
Do Aur Do Pyaar,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them."
#AAY,"When a man comes home between covid lockdowns, he connects with old friends and falls for a woman who feels influenced by her caste, while finding love."
Mahal Ko Ang Mahal Mo,Two women hurt by the same man form an alliance to catch their womanizer boyfriend in the act. But their unexpected bond leads to an unlikely romance between them.
Kismath,"An easy life of three seemingly ordinary, jobless engineers from a small village goes haywire as they try to hide an unwelcome money heist leaving only honesty on their side."
Buzzheart,"Driven by deep concern for their fragile daughter, her parents subject her boyfriend to shockingly intense and brutal tests, pushing the boundaries of his love to its absolute limits."
Out of the Nest,"In the Kingdom of Castilia, a dark force rises again. Days from the coronation of the new Emperor and Empress, their seven royal fledglings are taken and it's up to one hero to return them safely; a teenage delivery boy, Arthur the Goat. His dreams of becoming a world-class barber are put on hold when he becomes a parent overnight. If he's going to keep the rambunctious toddlers safe on their journey, he must first grow up, discover his own past, and along the way, awaken forgotten champions. Can Arthur return the heirs and ultimately save the kingdom?"
Bila Esok Ibu Tiada,"The story of 4 children who are starting to get busy with their own lives. Small problems always become big conflicts. Their mother, whose heart is broken, is confused about what to do. She just misses the laughter and harmony like before."
1 Million Followers,A small-town girl who is invited by a popular influencer to a mansion in Thailand where the beautiful mingle as they build Karissa up to a million followers. Things take a dark turn when they discover who the sponsor behind this event is.
Bangkok Dog,The story focuses on an American agent sent to a dangerous undercover mission in Thailand to dismantle a sadistic crime lord.
The Roast of Tom Brady,"Tom Brady faces the heat in this livestreamed, star-studded roast hosted by Kevin Hart."
Brief History of a Family,"A middle-class family's fate becomes intertwined with their only son's enigmatic new friend in post one-child policy China, putting unspoken secrets, unmet expectations, and untended emotions under the microscope."
Sob a Chama da Candeia,"A house of green azulejos, a garden, a magnolia. Rooms full of objects from past lives here. Traces of time, rooms full of objects from past lives here. Traces of time, gestures and affects."
The Snow Sister,"A young boy named Julian, whose Christmas Eve birthday turns sad with the death of his sister sends his household into mourning and it isn't until he meets Christmas-loving Hedwig that he begins to believe in Christmas again."
Seize Them!,"Dark Ages Britain where Queen Dagan is toppled by a revolution led by Humble Joan. The Queen becomes a fugitive in her own land, and must face hardship and danger as she embarks on a voyage to win back her throne."
The Haunted Apartment: Miss K,"Apartment 610 holds a dark and terrifying secret, anyone who enters will die within four days. Can Alma and her sister, Mia, somehow evade the curse?"
Till Death Do Us Part,A wedding planner must keep her best friend and her groom safe from a psychotic stranger who secretly threatens to murder the entire party.
Cora,"After a deadly mist has wiped out most of humanity, a mysterious organisation is trying to save what's left of humankind."
Beauty and the Billionaire: Bali,Bali visit for business publicity turns sour as billionaire angers locals. Uncle's accident necessitates round-the-clock care from mistreated doctor. Tangled events jeopardize high-stakes negotiations.
Silence 2: The Night Owl Bar Shootout,"ACP Avinash Verma (Manoj Bajpayee) and his SCU are called upon by the Commissioner of Police to investigate a mass shoot-out at the Night Owl Bar in Mumbai. Layers begin to peel at something bigger, deeper, and darker at play."
Frida,"A raw and magical journey into the life of iconic artist Frida Kahlo, told through her own words from diaries, letters, essays, and interviews. Vividly brought to life with lyrical animation inspired by her unforgettable artwork."
Boxer,Eryk Kulm Jr. leaves communist Poland to become a boxer but struggles as an immigrant. He agrees to participate in a rigged fight that alters his life's trajectory.
Seven Cemeteries,A recent parolee (Danny Trejo) gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.
Chapter 51,"An FBI agent investigates footage from film ""Dissident"" where multiple actresses in the same role have died during production, searching for The Hollywood Killer's identity. The suspect pool is vast and deceptive."
Drained,"Unemployed artist Thomas is captivated by alluring Rhea, who conceals her vampire nature. Their intense affair takes a sinister turn as Thomas becomes gravely ill."
We Will Dance Again,"A minute-by-minute retelling of the Supernova Music Festival Massacre, which took place on October 7th."
The Haunting of Cottonwood,"David and Georgina's luck is about to change when good news arrives that David has inherited Cottonwood, an old Victorian house once used as an orphanage. What the family doesn't realize is that they've also inherited its evil past."
Un/Happy for You,"Chef Juancho reunites with ex-girlfriend Zy, visiting hometown. Initially seeking revenge against her engagement, he unexpectedly redevelops feelings."
Illegal Hayatlar: Meclis,"In the realm of underground gambling, Mahsun, Sahin, and Mehmet find themselves entangled in a web of deception. Their fake political party's parliament entry leads them to further exploit the absurd situation for personal gain."
State Organs,"Two innocent young persons were forcibly disappeared by police in China. Their desperate families embarked on a two-decade odyssey in search of the truth, uncovering a sinister state crime and grassroots movements that inspired a nation."
Teacher's Pet,"A student uses manipulation to start an affair with his teacher. As she attempts to break it off, mysterious deaths occur in her circle. Her survival hangs in the balance."
Bambi: A Tale of Life in the Woods,"From birth, Bambi is close to his mother, learning survival in the forest. He makes friends, but after hunters kill his mother, he becomes an orphan. With guidance from his father, Bambi learns to navigate life's dangers and matures."
Oak,"A group of teenagers touch a cursed tree in their neighborhood which they thought was only a legend, turns out the curse and what comes after you is very real."
All Is Fine in '89,"With the backdrop of the Berlin Wall being torn down, the senior students - and even teachers - at Romano High are prepping for the last field party of the decade - and for some, the last party of their lives."
Rasavathi,"A former criminal doctor and his wife seek a tranquil life, but an inspector hellbent on vengeance jeopardizes their newfound peace."
Lucky Winners,"After winning the lottery, the happy winners see their lives change into a nightmare."
Are You There?,"A paranormal psych student's ritual candle starts a deadly game of twenty questions. As wax drips away, she races to survive, learning some mysteries should stay buried."
Ranam Aram Thavarel,"After nurse's suspicious death, a crime writer gets embroiled in a web of serial killings tied to antagonistic forces."
Ek Anjaan Rishtey Ka Guilt 3,"Akshay, a charismatic Casanova, has an illicit affair with his boss' wife, Ayesha, but life takes an unexpected turn when Akshay and Ayesha's step-daughter, Kriti, fall in love. Will purity of LOVE win over desires of LUST?"
I Am Kathalan,A college student decides to hack into the security system of a company owned by his ex-girlfriend's father.
Perumani,Showcases the lives of the people in a village and the challenges they encounter.
Protein,"A gym-obsessed serial killer murders and eats a local drug dealer for their protein, inadvertently sparking a brutal and bloodthirsty turf war between rival gangs."
Razakar: The Silent Genocide of Hyderabad,Revolves around the Hyderabad Liberation Movement of 1948. Capture the struggles of Telangana and its people in the early days of Independence to reclaim their religion and identity in the face of military and political oppression.
Bigayan,Gameboys director explores gay couple's seven-year open relationship. One proposes exclusivity; will the other agree to keep their bond.
The Quintessential Quintuplets Specials 2,"Futaro and quintuplet wives plan Hawaii honeymoon trip. Despite achieving dreams, they face worries. During preparations, incident causes panic."
Monkey's Magic Merry Go Round,"A children's TV show host, ensnared in a case of amnesia, must confront his missing memories as his puppet co-stars turn on him."
She's Got a Baby,Sixteen year old Brenda's life begins to spiral downward after she haves a child by a much older family member that she thought she could trust.
Gazer,"Frankie, a young mother with dyschronometria, struggles to perceive time. Using cassette tapes for guidance, she takes a risky job from a mysterious woman to support her family, unaware of the dark consequences that await."
How to Rob a Bank,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies."
Maryang Palad,"Lando starts working on a ship where women board to entertain the crew at each dock. He finds his ex-lover Marya, renowned for her 'magical hands,' is among them."
Surrogate,"Jane Martin is recruited by Doctor Faye's clinical for healthy sex. But Jane does not respect the rules with her patients and becomes more closer with them. Ignoring the warnings of Dr. Faye, Jane puts her patients and herself in danger."
Realm of Satan,"Explores the Church of Satan, a 50-year-old religion celebrating individualism and carnal desires. It offers a glimpse into modern Satanists' daily lives and rituals, showcasing their devotion to Satan as a symbolic figure."
In Flight,"The night before Claire Reynolds' trip to Paris, she catches the eye of a mysterious, handsome stranger. That's the last thing she remembers before waking up on a plane with no recollection of what happened after that."
Demise,"Caleb Castillo, a Latino landscaper, is involved in a scandal with fashion star Fiona Hernandez and is devoted to his wife Celine. They break up, and Celine reclaims her son Brody (Fiona's & caleb's), despite Caleb's promises to leave her."
Waitress,Three servers are willing to do everything to find their perfect mate. They are always ready to serve.
Adopted,"A couple's hopes of adopting the perfect child unravel as their new son reveals a dark side, bringing terror into their lives."
Sujo,"When a cartel gunman is killed, he leaves behind Sujo, his 4-year-old son. The shadow of violence surrounds Sujo during each stage of his life. As he grows into a man, Sujo finds that fulfilling his father's destiny may be inescapable."
Apollo 13: Survival,"In April 1970, NASA faced the greatest crisis in its history; three astronauts halfway to the moon on a spacecraft that had suffered a catastrophic explosion."
Toofan,Follows a born killer who rises to power and becomes the biggest toofan
High Forces,"Gao Haojun, an international security expert, is hijacked by gunmen on the first flight of A380 airliner, and his blind daughter is one of the undercover hostages, a fact that he doesn't know."
The Quiet Son,"Pierre, a widowed father, struggles as one of his sons becomes drawn to an ideology he doesn't comprehend. His son's change tests Pierre's ability to maintain their bond, set against the backdrop of post-May '68 France."
Fresh,"The clock is ticking for Kai. His psychotic brother has just been granted an early release from prison and by this afternoon, he'll come around to collect the money Kai has been holding for him. The problem - all the money's been spent."
Harom Hara,"Man loses job, faces financial ruin. Desperate, he enters illegal arms trade, eventually becoming South India's most notorious arms lord as his involvement deepens."
Panda Bear in Africa,"A panda travels from China to Africa, facing hippos, hyenas, gorillas. He rescues his kidnapped dragon friend, makes new friends, and protects their jungle home."
Truth or Dare,"Experimental documentary about the exploration of intimacy, desire and diversity in queer sex-positive spaces."
Alien Weekend,"The night Violet learns she is pregnant, she and her three adorably nerdy best friends find themselves in the heart of an interplanetary crisis after an egg-the last female of an extraterrestrial species-crash lands in their little town."
My Oni Girl,A high school student's life takes an unexpected turn when he meets an oni (demon) girl on a quest in the human world.
No Time to Spy: A Loud House Movie,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration, but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island."
Bruce Springsteen's Nebraska: A Celebration in Words and Music,"Warren Zanes offers the words from his book, 'Deliver me from nowhere', and this fine cast of stellar musicians perform songs from Nebraska in an intimate setting."
Cassino in Ischia,"The next generation of action heroes push Nic Cassino off his perch. He goes to Italy to work with struggling Italian directors on the first-ever ""Neo-Realist"" action movie in an effort to revitalize his career."
The Women in the Lakes,Police investigate the death of a 100 year old man at a nursing home. Several women are concerned in the incident. A journalist also investigates. One of the investigators has a illicit relationship with one of the suspects.
KTM,Karthik seeks love through several attempts. Will he find his destined partner or face continued failure?
Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy."
Lioness,"When a 15-year-old rebellious Stefi goes missing, her mother Helena has nothing left to lose anymore - why cling to sanity when madness offers a chance for reconciliation and love?"
Buzz House: The Movie,"Selly has prepared many surprises for the participants: secret contestants, a villa isolated in the woods accessible only by boat, and a costumed employee tasked with frightening them, making it thrilling."
Les enfants du large,"Born at sea, Virginia was just five when her father, the famous Norwegian adventurer Peter Tangvald, died tragically in a shipwreck. When her elder brother, Thomas, also disappeared mysteriously at sea in 2014, Virginia decided to investigate her origins, which became the documentary Ghosts of the Sea . She explores the archives and memories of those who encountered this atypical family. What she discovers is staggering: two of Peter's wives died under suspicious and potentially criminal circumstances. More questions arise. In seeking to understand where she comes from and uncover her family's dark secrets, Virginia has made a compellingly beautiful film that challenges what she believed to be true and calls into question the idyllic image of the sailor in search of absolute freedom. At the end of her courageous journey is the hope that a toxic cycle has been broken."
Her Story,"Wang Tiemei, a single mother, loses her job and moves, befriending neighbor Xiaoye who appears cheerful but is depressed. Their bond grows as Tiemei navigates relationships with her ex-husband causing trouble."
Unspoken,A grieving Chinese father travels to America to collect his daughter and stays to catch the killer.
Cheers to Life,"Finding a locket identical to her late mother's inheritance, antique shop worker Jéssica joins forces with a surprise relative Gabriela to uncover their family's mysterious past in Rio."
Midnight Oil: The Hardest Line,Contrary. Passionate. Outspoken. Over 45 years Midnight Oil helped shape modern Australia. This is their trailblazing story for the first time on film.
Dear Paris,"In a series of interconnected stories, several Paris residents find their lives turned upside down when death knocks on their door."
The Clock,"After Mike and Sara bring home a grandfather clock, strange and frightening things begin to happen. As the incidents become more sinister, they learn that their clock, may be much more than they bargained for."
Dead Wrong,A narcissist concocts a get-rich-quick scheme that ignites a violent chain reaction and overwhelms the lives of those around him.
UI,UI transcends language barriers as it addresses a global issue.
Goldilocks and the Two Bears,"Follows Ingrid, Ian and Ivy, three unique strangers who find each other in an uninhabited condominium. They discover they actually have a lot in common, and start wondering whether they might be each other's salvation."
The Mother and the Bear,"After an accident leaves her daughter Sumi comatose in Winnipeg, Sara arrives from Seoul. While using Sumi's dating app, the meddling mother embarks on a transformative personal journey."
Love at 39 Degrees,"Fatih and Kumru, a lawyer from different cities, team up for a case involving a cheating spouse. They spend 8 hours racing around Izmir gathering evidence, unexpectedly altering their plans and lives."
Amish Affair,"A charismatic Amish leader, hires Hannah to help with his ailing wife. A spark ignites their secret relationship, but when Aaron's wife dies under suspicious circumstances, she is framed for murder and fights to prove her innocence."
Back Up,"Mirza's decisions shattered his family, love, and friendships. Decades later, a quiet Bosnian village faces ghosts from the past when journalist Ena discovers hidden secrets, sparking chaos and changing the lives of all involved forever."
Blink,"Apoorva hides his failed MA from his mother in Bengaluru. Working odd jobs and relying on Swapna, his ability to control blinking becomes a curse when an old man says his father lives."
Alterlove,"Paris, Present day. On a fleeting night, two strangers embark on a spontaneous romantic adventure that challenges their views on love and connection, blending humor and heartfelt moments in a unique exploration of modern relationships."
Strangers When We Meet,"Qin, was released from prison after serving 27 years. He just wanted to get married and have children and start a new life, but he unexpectedly met Chang Juan, a girl who had also just been released from prison."
Warning 2,"Geja fails to assassinate Pamma and ends up in the same jail, where he's intent on finishing the job. A merciless cop's plan to transfer the dangerous prisoners escalates the situation."
Don't Open the Door,"Far from civilization, in a frozen forest on an inhospitable mountainside, a group of researchers is attacked by an unidentified figure. The sole survivor, a young biologist, takes refuge in the isolated cabin of a mysterious man must live"
Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
Hope's Hollywood Christmas,"A struggling single mom takes a temp job with an aging movie star and teams up with the star's chauffeur to stop a scheming lawyer and agent from stealing her fortune, finding love and holiday magic along the way."
Sunny,Sunny is the story of a middle-aged woman who dreams to fulfill her dying wish to reunite with high school friends.
Peripheral,A woman's husband goes missing soon after moving into their new home. But strange paranormal events start to occur upon his return.
Forgive Me Father,"When a number of mutilated bodies are discovered in a mansion, seasoned Detective Taylor is charged with finding the killer. An unlikely suspect reveals that some secrets are taken to the grave and some secrets take us to the grave"
Curse of the Seven Oceans,"Starting from trade competition in the market, people use supernatural things and perform black magic to bring down their rivals."
Conjuring the Cult,"After finding his daughter's bloodied body, David joins a support group, but a cult offers to resurrect her. His choices will determine not only his fate but his daughter's soul."
The Park Maniac,"Based on a true story, an infamous serial killer, who assaulted and killed several women in the 90s, gets on a collision course with a young journalist eager for the truth and a career-changing article."
Rally Caps,A young baseball player has his dream of pitching for a Little League travel team derailed by a devastating injury on the field.
"Marry, Fuck, Kill","Ivan's life is a disaster. He spends his days lost in his own head, bouncing between porn, target practice, and a hopeless crush on a co-worker. Full of self-doubt, bitter humor, and jabs at himself and the world around him."
Run Baby Run,A young woman has to run for her life.
Bushido,"Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu."
About Family,Tells the story of a man who's an elite medical student who decided to become a priest.
Tempting,A titillating story about a group of five macho dancers navigating their own lives and the women who would do anything to keep them by their side.
The Volunteers: The Battle of Life and Death,"It tells the story of the third to fifth battles in the War to Resist U.S. Aggression and Aid Korea, among which Battle of Cheorwon will be the highlight. Li Xiang , Fu Chongbi, Cai Changyuan from 63rd Army and others will come on Stage."
