Movie Name,Storyline,Cleaned_Storyline
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",pampered cat takes granted lucky hand dealt rescued loved rose kind hearted passionate student loses ninth life fate steps set transformative journey
The Last Dance,"A debt-ridden wedding planner inadvertently becomes a successful funeral planner, but he must convince a traditional Taoist priest of his legitimacy to continue operating in the field.",debt ridden wedding planner inadvertently becomes successful funeral planner must convince traditional taoist priest legitimacy continue operating field
The Menendez Brothers,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events.",menendez brothers faced trial killing parents case captivated america years later share side interviews involved offering fresh take events
"I, the Executioner","Rookie detective Park Sun Woo and Seo Do-Cheol, a veteran of the Violent Crimes Investigation Division team, chase after a serial killer who shakes up their world.",rookie detective park sun woo seo cheol veteran violent crimes investigation division team chase serial killer shakes world
Vulcanizadora,"Two friends take a trip through a Michigan forest, intent on carrying out a disturbing pact.",two friends take trip michigan forest intent carrying disturbing pact
Max,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?",inspector arjun mahakshay law order inspector reports duty new police station months suspension faces unexpected situation arjun save day
Three Kilometres to the End of the World,"Set in a conservative Danube Delta community, a gay teenager's journey of self-discovery clashes with the traditional values upheld by his parents and neighbors.",set conservative danube delta community gay teenager journey self discovery clashes traditional values upheld parents neighbors
Terminator: Skynet Rising,"Since Legion was destroyed, the machines have been working to restore Skynet. Now the resistance has discovered their plans and must find a way to prevent them.",since legion destroyed machines working restore skynet resistance discovered plans must find way prevent
Limonov: The Ballad of Eddie,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia.",outrageous story eduard limonov radical soviet poet became bum new york sensation france political antihero russia
A Bronx Tale: The Original One Man Show,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the love of his son",one man lives neighborhood another man owns devoted father battles local crime boss love son
Dead Money,Professional poker player Andy and his girlfriend Chloe are involved in a crazy 24 hours after a home poker game is robbed. Andy ends up playing the largest poker game of his life as both of their lives are in danger.,professional poker player andy girlfriend chloe involved crazy hours home poker game robbed andy ends playing largest poker game life lives danger
